Name,Primary,Secondary,Rating,Team,MPG
LaMarcus Aldridge,C,PF,84,Spurs,33.1
Landry Shamet,SG,SF,74,Clippers,27.5
Langston Galloway,SG,PG,75,Pistons,25.8
Larry Nance Jr.,PF,C,79,Cavaliers,26.3
Lauri Markkanen,PF,C,80,Bulls,29.8
LeBron James,SF,PG,97,Lakers,34.9
Lonnie Walker IV,SG,PG,73,Spurs,14.5
Lonzo Ball,PG,,79,Pelicans,32.4
Lou Williams,PG,SG,82,Clippers,29.3
Louis King,SF,,68,Pistons,6.2
Luguentz Dort,SG,SF,71,Thunder,22.0
Luka Doncic,SG,PG,96,Mavericks,33.3
Luka Samanic,PF,,72,Spurs,12.0
Luke Kennard,SG,SF,80,Pistons,32.9
Luke Kornet,C,,75,Bulls,15.5
Malcolm Brogdon,PG,SG,83,Pacers,30.7
Malcolm Miller,SF,SG,69,Raptors,5.0
Malik Beasley,SG,SF,78,Timberwolves,22.0
Malik Monk,SG,PG,76,Hornets,21.3
Marc Gasol,C,,77,Raptors,27.5
Marco Belinelli,SG,SG,71,Spurs,15.0
Marcus Morris Sr.,PF,SF,80,Clippers,31.4
Marcus Smart,SG,PG,80,Celtics,32.5
Marial Shayok,SG,SF,67,76ers,5.2
Mario Hezonja,PF,PF,73,Trail Blazers,16.3
Markieff Morris,PF,C,75,Lakers,21.3
Markelle Fultz,PG,SG,78,Magic,28.3
Marko Guduric,SG,SF,69,Grizzlies,11.3
Marquese Chriss,C,PF,77,Warriors,20.3
Marvin Bagley III,C,PF,82,Kings,25.7
Marvin Williams,PF,C,75,Bucks,19.4
Mason Plumlee,C,,79,Nuggets,17.0
Matisse Thybulle,SG,SF,77,76ers,19.5
Matt Mooney,SG,PG,68,Cavaliers,4.7
Matt Thomas,SG,SF,74,Raptors,9.7
Matthew Dellavedova,PG,SG,70,Cavaliers,14.4
Maurice Harkless,SF,PF,72,Knicks,23.0
Max Strus,SF,SG,68,Bulls,3.1
Maxi Kleber,PF,C,79,Mavericks,25.7
Melvin Frazier Jr.,SG,SF,70,Magic,3.4
Meyers Leonard,PF,C,75,Heat,20.1
Mfiondu Kabengele,C,PF,72,Clippers,5.4
Michael Carter-Williams,SG,SG,77,Magic,18.4
Michael Frazier,SG,PG,68,Rockets,8.2
Michael Kidd-Gilchrist,PF,SF,72,Mavericks,11.0
Michael Porter Jr.,SF,PF,81,Nuggets,14.0
Mikal Bridges,SF,PF,77,Suns,27.3
Mike Conley,PG,,78,Jazz,28.6
Mike Muscala,C,PF,74,Thunder,12.0
Mike Scott,PF,,73,76ers,17.8
Miles Bridges,SF,PF,78,Hornets,30.7
Mitchell Robinson,C,,83,Knicks,23.2
Miye Oni,SG,,69,Jazz,2.1
Mo Bamba,C,,79,Magic,14.5
Monte Morris,PG,,78,Nuggets,21.6
Montrezl Harrell,C,PF,85,Clippers,27.8
Moritz Wagner,C,PF,78,Wizards,19.1
Moses Brown,C,,67,Trail Blazers,3.6
Mychal Mulder,PG,SG,68,Warriors,29.1
Myles Turner,C,,79,Pacers,29.6
Nassir Little,PF,SF,73,Trail Blazers,11.9
Naz Mitrou-Long,PG,SG,66,Pacers,14.2
Naz Reid,C,PF,72,Timberwolves,16.5
Nemanja Bjelica,PF,SF,80,Kings,28.5
Nerlens Noel,C,,78,Thunder,18.4
Nickeil Alexander-Walker,SG,PG,72,Pelicans,12.2
Nicolas Batum,SF,SG,73,Hornets,23.0
Nicolas Claxton,C,PF,74,Nets,12.5
Nicolo Melli,PF,C,76,Pelicans,17.1
Nigel Williams-Goss,PG,SG,72,Jazz,3.1
Nikola Jokic,C,,91,Nuggets,32.3
Nikola Vucevic,C,,85,Magic,32.6
Noah Vonleh,C,PF,76,Nuggets,11.0
Norman Powell,SG,SF,79,Raptors,28.8
Norvel Pelle,C,PF,71,76ers,8.9
OG Anunoby,SF,PF,79,Raptors,30.1
Omari Spellman,C,PF,76,Timberwolves,18.1
Oshae Brissett,SF,PF,67,Raptors,7.1
Otto Porter Jr.,SF,PF,78,Bulls,23.6
P.J. Tucker,C,SF,76,Rockets,34.4
P.J. Washington,PF,C,77,Hornets,30.3
Pascal Siakam,PF,SF,89,Raptors,35.5
Pat Connaughton,SG,SF,74,Bucks,18.3
Patrick Beverley,PG,SG,78,Clippers,27.1
Patrick McCaw,SG,PG,73,Raptors,24.5
Patrick Patterson,PF,C,75,Clippers,11.9
Patty Mills,PG,,78,Spurs,22.7
Paul George,SG,SF,90,Clippers,29.1
Paul Millsap,PF,C,82,Nuggets,24.4
Paul Watson,SG,SF,67,Raptors,5.2
PJ Dozier,SG,PG,69,Nuggets,11.1
Quinn Cook,PG,,73,Lakers,10.8
Quinndary Weatherspoon,SG,,69,Spurs,5.0
Rajon Rondo,PG,,77,Lakers,20.5
Raul Neto,PG,,73,76ers,11.5
Ray Spalding ,PF,C,69,Hornets,0
Rayjon Tucker,SG,SF,69,Jazz,5.6
Reggie Bullock,SG,SF,72,Knicks,23.6
Reggie Jackson,PG,,79,Clippers,24.2
Richaun Holmes,C,,81,Kings,28.9
Ricky Rubio,PG,,80,Suns,31.6
RJ Barrett,SG,SF,76,Knicks,30.4
Robert Covington,PF,SF,80,Rockets,30.1
Robert Williams III,C,,76,Celtics,14.0
Robin Lopez,C,,74,Bucks,14.4
Rodions Kurucs,PF,SF,71,Nets,12.8
Rodney Hood,SF,SG,77,Trail Blazers,29.5
Rodney McGruder,SF,SG,71,Clippers,15.0
Romeo Langford,SG,SF,70,Celtics,11.0
Rondae Hollis-Jefferson,PF,SF,78,Raptors,19.2
Royce O'Neale,SF,SG,73,Jazz,29.1
Rudy Gay,PF,SF,78,Spurs,21.5
Rudy Gobert,C,,87,Jazz,34.6
Rui Hachimura,PF,SF,79,Wizards,29.7
Russell Westbrook,PG,SG,89,Rockets,35.9
Ryan Arcidiacono,PG,,71,Bulls,16.0
Sekou Doumbouya,PF,SF,72,Pistons,19.8
Semi Ojeleye,SF,PF,71,Celtics,14.6
Serge Ibaka,C,PF,81,Raptors,27.5
Seth Curry,SG,PG,80,Mavericks,24.5
Shabazz Napier,PG,,78,Wizards,24.2
Shai Gilgeous-Alexander,SG,PG,84,Thunder,35.1
Shake Milton,SG,SF,77,76ers,19.1
Shaquille Harrison,SG,SF,73,Bulls,11.3
Sheldon Mac,SG,SF,69,Cavaliers,0
Sir'Dominic Pointer,SF,SG,69,Cavaliers,0
Skal Labissiere,PF,C,75,Hawks,17.2
Solomon Hill,PF,SF,73,Heat,18.4
Spencer Dinwiddie,PG,SG,83,Nets,31.2
Stanley Johnson,PF,SF,73,Raptors,4.8
Stephen Curry,PG,SG,95,Warriors,27.9
Sterling Brown,SF,SG,71,Bucks,14.8
Steven Adams,C,,84,Thunder,27.0
Svi Mykhailiuk,SF,SG,73,Pistons,22.6
TJ Leaf,PF,,76,Pacers,7.7
T.J. McConnell,PG,,77,Pacers,18.9
T.J. Warren,SF,PF,82,Pacers,32.5
Tacko Fall,C,,68,Celtics,4.0
Taj Gibson,C,,78,Knicks,16.5
Talen Horton-Tucker,SG,SF,70,Lakers,2.7
Tariq Owens,PF,SF,68,Suns,5.1
Taurean Prince,PF,SF,73,Nets,29.0
Terance Mann,SF,PG,71,Clippers,7.7
Terence Davis,SG,PG,79,Raptors,17.0
Terrance Ferguson,SG,SF,72,Thunder,23.4
Terrence Ross,SG,SF,78,Magic,27.3
Terry Rozier,PG,SG,79,Hornets,34.4
Thabo Sefolosha,PF,SF,72,Rockets,10.6
Thaddeus Young,PF,,77,Bulls,24.9
Thanasis Antetokounmpo,SF,SG,70,Bucks,5.2
Theo Pinson,SG,PG,69,Nets,11.1
Thomas Bryant,C,PF,79,Wizards,23.7
Thon Maker,C,PF,74,Pistons,12.9
Tim Hardaway Jr.,SG,SF,79,Mavericks,28.8
Timothe Luwawu-Cabarrot,SF,SG,71,Nets,17.2
Tobias Harris,SF,PF,85,76ers,34.5
Tomas Satoransky,PG,SG,78,Bulls,28.9
Tony Bradley,C,,76,Jazz,10.7
Tony Snell,SF,SG,72,Pistons,27.8
Torrey Craig,SF,SG,74,Nuggets,17.4
Trae Young,PG,,90,Hawks,35.3
Tremont Waters,PG,,69,Celtics,8.9
Treveon Graham,SF,PF,71,Hawks,16.9
Trevor Ariza,SF,PF,75,Trail Blazers,28.2
Trey Lyles,PF,C,75,Spurs,20.2
Tristan Thompson,C,,80,Cavaliers,30.2
Troy Brown Jr.,SF,SG,78,Wizards,24.9
Troy Daniels,SG,,72,Nuggets,10.9
Ty Jerome,PG,,72,Suns,11.2
Tyler Herro,SG,SF,76,Heat,27.2
Tyson Chandler,C,,73,Rockets,8.4
Tyus Jones,PG,,77,Grizzlies,19.0
Udonis Haslem,PF,C,70,Heat,6.9
Vic Law,PF,SF,69,Magic,1.9
Victor Oladipo,SG,PG,83,Pacers,26.0
Vince Carter,PF,SF,72,Hawks,14.6
Vincent Poirier,C,,73,Celtics,5.4
Vlatko Cancar,SF,PF,70,Nuggets,3.2
Wayne Ellington,SG,,72,Knicks,15.5
Wendell Carter Jr.,C,,81,Bulls,29.2
Wenyen Gabriel,PF,SF,68,Trail Blazers,7.5
Wes Iwundu,SF,,72,Magic,18.0
Wesley Matthews,SG,SF,75,Bucks,24.7
Will Barton,SF,SG,80,Nuggets,33.0
William Howard,SF,,68,Rockets,6.6
Willie Cauley-Stein,C,,79,Mavericks,20.3
Willy Hernangomez,C,,77,Hornets,12.1
Wilson Chandler,PF,SF,70,Nets,21.0
Yogi Ferrell,PG,SG,72,Kings,11.0
Yuta Watanabe,PF,SF,68,Grizzlies,6.2
Zach Collins,PF,C,74,Trail Blazers,28.8
Zach LaVine,SG,SF,85,Bulls,34.8
Zhaire Smith,SG,PG,72,76ers,4.6
Zion Williamson,PF,C,86,Pelicans,29.7
Zylan Cheatham,PF,SF,67,Pelicans,10.2
